"","year","author","method","reportScore","methodsScore"
"101",2003,"Flahault A","SCC",100,100
"102",2003,"Ki M","SCC",100,100
"103",2003,"Oh JK","SCC",100,100
"104",2003,"Park Taesung","SCC",100,100
"105",2003,"Viboud C","SCC",100,100
"106",2003,"Yi Sung Gon","SCC",100,100
"107",2003,"Andrews N","SCCS",0,100
"108",2003,"Farrington CP","SCCS",0,50
"109",2003,"Farrington CP","SCCS",0,100
"110",2003,"Harrison T","SCCS",0,100
"111",2003,"Hubbard R","SCCS",0,50
"112",2003,"Hubbard R","SCCS",0,100
"113",2003,"Miller E","SCCS",0,100
"114",2003,"Smeeth L","SCCS",0,50
"115",2003,"Smith C","SCCS",0,50
"116",2003,"Smith C","SCCS",0,100
"117",2003,"Tata LJ","SCCS",0,100
"118",2003,"Tattersfield A","SCCS",0,50
"119",2003,"Taylor B","SCCS",0,100
"120",2003,"Waight P","SCCS",0,100
"121",2003,"West J","SCCS",0,100
"NA",NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA
"NA.14",NA,NA,NA,NA,NA
"NA.15",NA,NA,NA,NA,NA
"NA.16",NA,NA,NA,NA,NA
"NA.17",NA,NA,NA,NA,NA
"NA.18",NA,NA,NA,NA,NA
"NA.19",NA,NA,NA,NA,NA
"NA.20",NA,NA,NA,NA,NA
"NA.21",NA,NA,NA,NA,NA
"NA.22",NA,NA,NA,NA,NA
"NA.23",NA,NA,NA,NA,NA
"NA.24",NA,NA,NA,NA,NA
"NA.25",NA,NA,NA,NA,NA
