"","year","author","method","reportScore","methodsScore"
"159",2005,"Brensinger CM","CCO",100,100
"162",2005,"Halevy S","CCO",100,100
"163",2005,"Lewis JD","CCO",100,100
"164",2005,"Lichtenstein GR","CCO",100,100
"167",2005,"Naggan L","CCO",100,100
"168",2005,"Reuveni H","CCO",100,100
"169",2005,"Vardy DA","CCO",100,100
"170",2005,"Ali M","SCCS",50,100
"171",2005,"Britton J","SCCS",0,100
"172",2005,"Britton J","SCCS",0,100
"173",2005,"Canh Gia D","SCCS",50,100
"174",2005,"Card T","SCCS",0,0
"175",2005,"Card T","SCCS",0,50
"178",2005,"Farrington CP","SCCS",0,100
"182",2005,"Godfrey C","SCCS",0,100
"184",2005,"Hawkey CJ","SCCS",0,0
"185",2005,"Hubbard R","SCCS",0,100
"189",2005,"Lewis S","SCCS",0,100
"192",2005,"Park JK","SCCS",50,100
"193",2005,"Smeeth L","SCCS",0,100
"197",2005,"Smith C","SCCS",0,100
"198",2005,"Smith C","SCCS",0,100
"200",2005,"Smith C","SCCS",0,50
"202",2005,"Tata LJ","SCCS",0,50
"203",2005,"Thiem DV","SCCS",50,100
"204",2005,"Tho HL","SCCS",50,100
"205",2005,"Trach DD","SCCS",50,100
"208",2005,"West J","SCCS",0,0
"209",2005,"West J","SCCS",0,50
"210",2005,"Whitaker HJ","SCCS",0,0
"211",2006,"Abildstrom SZ","CCO",0,100
"212",2006,"Belongia EA","CCO",100,100
"213",2006,"Biskupiak JE","CCO",100,100
"214",2006,"Black SB","CCO",100,100
"217",2006,"Chaisson CE","CCO",100,50
"218",2006,"Chen Robert T","CCO",100,100
"219",2006,"Davis RL","CCO",100,100
"220",2006,"France EK","CCO",100,100
"222",2006,"Gislason GH","CCO",100,100
"223",2006,"Glanz JM","CCO",100,100
"224",2006,"Hambidge SJ","CCO",100,100
"227",2006,"Jackson LA","CCO",100,100
"229",2006,"Kober L","CCO",100,100
"230",2006,"Lewis EM","CCO",100,100
"233",2006,"McClure D","CCO",100,100
"234",2006,"Mullooly JP","CCO",100,100
"236",2006,"Nordin JD","CCO",100,100
"237",2006,"Oderda GM","CCO",100,100
"238",2006,"Rasmussen JN","CCO",100,100
"241",2006,"Shay DK","CCO",100,100
"242",2006,"Shinefield HR","CCO",100,100
"243",2006,"Torp-Pedersen C","CCO",100,100
"245",2006,"Xu Stan","CCO",100,100
"246",2006,"Yamasaki K","CCO",100,100
"254",2006,"Finlayson AR","SCCS",0,100
"255",2006,"Gulliford MC","SCCS",50,100
"256",2006,"Hughes RA","SCCS",50,100
"258",2006,"Kopp A","SCCS",50,100
"261",2006,"Manuel DG","SCCS",50,100
"262",2006,"McGee A","SCCS",50,100
"265",2006,"Stowe J","SCCS",0,100
"266",2006,"Stukel TA","SCCS",50,100
"268",2006,"Walsh D","SCCS",0,100
"269",2006,"Wilson K","SCCS",50,100
"271",2007,"Blanchette V","CCO",100,100
"274",2007,"Egberts TCG","CCO",100,100
"277",2007,"Hallas J","CCO",100,100
"278",2007,"Handoko KB","CCO",100,100
"279",2007,"Hermens WAJJ","CCO",100,100
"280",2007,"Horvath-Puho E","CTC",100,100
"281",2007,"Juurlink DN","CCO",100,100
"282",2007,"Kirby M","CCO",100,100
"284",2007,"Koren G","CCO",100,100
"285",2007,"Lassen AT","CCO",100,100
"288",2007,"Olsen J","CTC",100,100
"289",2007,"Schechter T","CCO",100,100
"290",2007,"Sode J","CCO",100,100
"292",2007,"Souverein PC","CCO",100,100
"293",2007,"Vestergaard M","CTC",100,100
"294",2007,"Zwart-van Rijkom JEF","CCO",100,100
"296",2007,"Andrews N","SCCS",0,100
"297",2007,"Andrews N","SCCS",0,100
"298",2007,"Andrews N","SCCS",0,100
"299",2007,"Bowley JS","SCCS",0,100
"300",2007,"Bryant NJ","SCCS",0,100
"303",2007,"Miller E","SCCS",0,100
"304",2007,"Miller E","SCCS",0,100
"307",2007,"Ohrling A","SCCS",0,100
"308",2007,"Ross EM","SCCS",0,100
"309",2007,"Stowe J","SCCS",0,100
"311",2007,"Stowe J","SCCS",0,100
"312",2007,"Taylor B","SCCS",0,100
"313",2007,"Taylor B","SCCS",0,100
"314",2007,"Taylor B","SCCS",0,100
"315",2007,"Verity CM","SCCS",0,100
"316",2007,"Waight P","SCCS",0,100
"317",2007,"Ward KN","SCCS",0,100
"318",2008,"Agard C","CCO",0,100
"319",2008,"Alarcón GS","CCO",0,50
"320",2008,"Andersen M","CCO",0,100
"321",2008,"Azoulay L","CCO",100,100
"322",2008,"Berard A","CCO",100,100
"323",2008,"Berezné A","CCO",0,100
"324",2008,"Bilker WB","CCO",100,100
"325",2008,"Bjerrum L","CCO",100,100
"327",2008,"Brensinger CM","CCO",100,100
"328",2008,"Cabane J","CCO",100,100
"329",2008,"Chen Pau-Chung","CCO",100,100
"331",2008,"Curcin V","CCO",100,50
"332",2008,"Durán-Barragán S","CCO",100,50
"334",2008,"Gross WL","CCO",100,50
"335",2008,"Guillevin L","CCO",100,50
"337",2008,"Hallas J","CCO",100,100
"338",2008,"Han X","CCO",100,100
"339",2008,"Hauser T","CCO",100,50
"340",2008,"Hellmich B","CCO",100,50
"341",2008,"Hennessy S","CCO",100,100
"342",2008,"Kimmel SE","CCO",100,100
"343",2008,"Koren G","CCO",100,100
"345",2008,"LeLorier J","CCO",100,100
"346",2008,"Mahr A","CCO",100,50
"347",2008,"Mahr A","CCO",100,100
"348",2008,"Majeed A","CCO",100,50
"349",2008,"McGwin Jr G","CCO",100,50
"352",2008,"Metzler C","CCO",100,50
"354",2008,"Mouthon L","CCO",100,100
"355",2008,"Noël LH","CCO",100,100
"356",2008,"Reveille JD","CCO",100,50
"357",2008,"Schelleman H","CCO",100,100
"358",2008,"Sommerstein R","CCO",100,50
"359",2008,"Stovring H","CCO",100,100
"360",2008,"Teixeira L","CCO",100,100
"361",2008,"Trolliet P","CCO",100,100
"362",2008,"Vila LM","CCO",100,50
"365",2008,"Douglas I","SCCS",0,0
"366",2008,"Douglas I","SCCS",0,50
"368",2008,"Hingorani A","SCCS",0,50
"370",2008,"MacAllister R","SCCS",0,50
"371",2008,"Miller E","SCCS",0,100
"372",2008,"Smeeth L","SCCS",0,0
"373",2008,"Smeeth L","SCCS",0,50
"375",2009,"Contiero P","CCO+CTC",100,100
"377",2009,"Friz HP","CCO+CTC",100,100
"382",2009,"Britton J","CCO",100,100
"383",2009,"Brotman RM","CCO",100,100
"384",2009,"Buch P","CCO",100,100
"387",2009,"Fogarty AW","CCO",100,100
"388",2009,"Folke F","CCO",100,100
"390",2009,"Fosbol EL","CCO",100,100
"391",2009,"Fosbol EL","CCO",100,50
"392",2009,"Gadsbøll N","CCO",100,100
"393",2009,"Gibson JE","CCO",100,100
"394",2009,"Gill SS","CTC",50,50
"396",2009,"Gislason GH","CCO",100,100
"397",2009,"Gislason GH","CCO",100,50
"398",2009,"Hallas J","CCO",100,50
"399",2009,"Hansen JM","CCO",100,50
"400",2009,"Hansen ML","CCO",100,100
"401",2009,"Hansen ML","CCO",100,50
"402",2009,"Hubbard R","CCO",100,100
"405",2009,"Kober L","CCO",100,50
"408",2009,"Li P","CTC",50,50
"409",2009,"Madsen M","CCO",100,100
"410",2009,"Madsen M","CCO",100,50
"413",2009,"Poulsen HE","CCO",100,100
"416",2009,"Rifkin SB","CCO",100,100
"419",2009,"Schramm TK","CCO",100,50
"420",2009,"Smith C","CCO",100,100
"421",2009,"Smith MR","CCO",100,100
"422",2009,"Sorensen R","CCO",100,100
"423",2009,"Tata LJ","CCO",100,100
"424",2009,"Torp-Pedersen C","CCO",100,100
"425",2009,"Torp-Pedersen C","CCO",100,50
"426",2009,"Andrews N","SCCS",0,100
"429",2009,"Donahue JG","SCCS",0,100
"430",2009,"Douglas I","SCCS",50,50
"431",2009,"Douglas I","SCCS",0,50
"433",2009,"Evans SJ","SCCS",50,50
"434",2009,"Glanz JM","SCCS",0,100
"435",2009,"Grosso A","SCCS",0,50
"436",2009,"Grosso A","SCCS",0,0
"437",2009,"Hingorani A","SCCS",0,50
"438",2009,"Hingorani A","SCCS",0,0
"439",2009,"Hubbard R","SCCS",0,0
"443",2009,"Kwong JC","SCCS",50,100
"444",2009,"MacAllister R","SCCS",0,50
"445",2009,"MacAllister R","SCCS",0,0
"447",2009,"Miller E","SCCS",0,100
"448",2009,"Naleway AL","SCCS",0,100
"449",2009,"Pocock S","SCCS",50,50
"450",2009,"Smeeth L","SCCS",50,50
"451",2009,"Smeeth L","SCCS",0,50
"452",2009,"Smeeth L","SCCS",0,0
"453",2009,"Stowe J","SCCS",0,100
"454",2009,"Stowe J","SCCS",0,100
"458",2009,"Wise L","SCCS",0,100
"459",2009,"Zinman L","SCCS",50,100
"460",2010,"Abenhaim L","CCO",0,100
"461",2010,"Abildstrom SZ","CCO",0,50
"466",2010,"Bilker WB","CCO",100,100
"469",2010,"Chang Chia-Hsuin","CCO",100,100
"471",2010,"Chen Shu-Ting","CCO",100,100
"472",2010,"Cleinman IB","CCO",100,100
"473",2010,"Contrand B","CCO",100,100
"474",2010,"David B","CCO",100,100
"475",2010,"Delorme B","CCO",100,100
"476",2010,"Egawa T","CCO",100,100
"478",2010,"Ferraiuoli GI","CCO",100,100
"479",2010,"Figueiredo AM","CCO",100,100
"480",2010,"Folke F","CCO",100,100
"482",2010,"Fosbol EL","CCO",100,50
"483",2010,"Freitas A","CCO",100,100
"484",2010,"Gadegbeku B","CCO",100,100
"485",2010,"Gagne JJ","CCO",100,100
"486",2010,"Giraudeau B","CCO",100,100
"488",2010,"Gislason GH","CCO",100,50
"489",2010,"Grimaldi-Bensouda L","CCO",100,100
"492",2010,"Hirakawa M","CCO",100,100
"493",2010,"Imakyure O","CCO",100,100
"494",2010,"Jacobsen SJ","CCO",100,100
"497",2010,"Kataoka Y","CCO",100,100
"499",2010,"Kuo Chuei-Wen","CCO",100,100
"500",2010,"Lagarde E","CCO",100,100
"501",2010,"Lai Mei-Shu","CCO",100,100
"502",2010,"Laumon B","CCO",100,100
"503",2010,"Lee Chang-Hsing","CCO",100,100
"504",2010,"Leufkens HG","CCO",100,100
"505",2010,"Magalhaes AC","CCO",100,100
"506",2010,"Martins IS","CCO",100,100
"507",2010,"Mascarenhas LA","CCO",100,100
"508",2010,"Matsumoto J","CCO",100,100
"509",2010,"Michaud L","CCO",100,100
"511",2010,"Mouterde O","CCO",100,100
"512",2010,"Nouer SA","CCO",100,100
"518",2010,"Poulsen HE","CCO",100,50
"520",2010,"Rasmussen S","CCO",100,100
"522",2010,"Santos Mda","CCO",100,100
"523",2010,"Schelleman H","CCO",100,100
"527",2010,"Shau Wen-Yi","CCO",100,100
"528",2010,"Shrank WH","CCO",100,100
"534",2010,"van Solinge WW","CCO",100,100
"537",2010,"Wan F","CCO",100,100
"538",2010,"Wang Jung-Der","CCO",100,100
"539",2010,"Weeke P","CCO",100,50
"540",2010,"Yanagawa T","CCO",100,100
"543",2010,"Dugdale S","SCCS",0,100
"544",2010,"Evans SJ","SCCS",0,100
"545",2010,"Gargiullo PM","SCCS",50,100
"546",2010,"Gilbert R","SCCS",0,100
"547",2010,"Gold M","SCCS",0,100
"548",2010,"Huang Wan-Ting","SCCS",50,100
"552",2010,"Nazareth I","SCCS",0,100
"554",2010,"Ridolfi A","SCCS",0,100
"556",2010,"Woodman RJ","SCCS",0,100
"557",2011,"Anderka M","CCO+CTC",100,100
"558",2011,"de Jong-van den Berg LTW","CCO+CTC",100,100
"562",2011,"Hernandez-Diaz S","CCO+CTC",100,100
"564",2011,"Niessen WJ","CCO+CTC",100,50
"565",2011,"Risselada R","CCO+CTC",100,50
"569",2011,"van der Lugt A","CCO+CTC",100,50
"571",2011,"Azoulay L","CCO",100,100
"572",2011,"Belozeroff V","CCO",0,50
"573",2011,"Berard A","CCO",100,100
"574",2011,"Berry SD","CCO",100,50
"575",2011,"Castot A","CCO",100,100
"576",2011,"Chang Chia-Hsuin","CCO",100,100
"577",2011,"Chang Chia-Hsuin","CCO",100,100
"578",2011,"Chang Yoosoo","CCO",100,50
"581",2011,"Chen Hsi-Chieh","CCO",100,100
"582",2011,"Chen Pau-Chung","CCO",100,100
"583",2011,"Chen Pau-Chung","CCO",100,100
"584",2011,"Cheng Yu-Cheng","CCO",100,50
"585",2011,"Choi Nam-Kyong","CCO",100,50
"586",2011,"Choi Nam-Kyong","CCO",100,100
"587",2011,"Choi Yu-Kyong","CCO",100,100
"588",2011,"Christakis DA","CCO",100,50
"591",2011,"Duke J","CCO",100,100
"592",2011,"Gadegbeku B","CCO",100,100
"593",2011,"Garrison MM","CCO",100,50
"594",2011,"Gau Susan Shur-Fen","CCO",100,50
"595",2011,"Gomes T","CCO",100,100
"599",2011,"Jung Sun-Young","CCO",100,50
"600",2011,"Jung Sun-Young","CCO",100,100
"604",2011,"Kim Ju-Young","CCO",100,100
"605",2011,"Kuo Chuei-Wen","CCO",100,100
"606",2011,"Kuo Chuei-Wen","CCO",100,100
"607",2011,"Lagarde E","CCO",100,100
"615",2011,"Lee Joongyub","CCO",100,50
"616",2011,"Lee Joongyub","CCO",100,100
"617",2011,"Lin Jou-Wei","CCO",100,100
"618",2011,"Lin Jou-Wei","CCO",100,100
"620",2011,"Lozano P","CCO",100,50
"622",2011,"Mamdani M","CCO",100,100
"624",2011,"Mittleman MA","CCO",100,50
"626",2011,"Moussally K","CCO",100,100
"627",2011,"Nakhai-Pour HR","CCO",100,100
"628",2011,"Ng JQ","CCO",100,100
"629",2011,"Orriols L","CCO",100,100
"630",2011,"Palamara P","CCO",100,100
"631",2011,"Park Byung-Joo","CCO",100,50
"632",2011,"Park Byung-Joo","CCO",100,100
"633",2011,"Philip P","CCO",100,100
"641",2011,"Wang Sheng-Chang","CCO",100,50
"642",2011,"Wright AJ","CCO",100,100
"643",2011,"Wu Chi-Shin","CCO",100,50
"645",2011,"Zhang Yuqing","CCO",100,50
"646",2011,"Aguinaga-Villasenor RG","SCCS",0,100
"648",2011,"Andrews N","SCCS",100,100
"649",2011,"Andrews N","SCCS",0,100
"650",2011,"Arthur A","SCCS",0,50
"651",2011,"Baggs JM","SCCS",0,100
"653",2011,"Barton G","SCCS",0,50
"655",2011,"Bianchi C","SCCS",50,100
"656",2011,"Bryan P","SCCS",0,100
"657",2011,"Bulhoes MM","SCCS",0,100
"658",2011,"Ceron-Rodriguez M","SCCS",0,100
"661",2011,"Chakraborty P","SCCS",0,100
"664",2011,"Coupland CAC","SCCS",0,50
"669",2011,"Daley MF","SCCS",0,100
"673",2011,"Deeks SL","SCCS",0,100
"675",2011,"degli Atti MC","SCCS",50,100
"676",2011,"DeStefano F","SCCS",0,100
"677",2011,"Dhiman P","SCCS",0,50
"678",2011,"Dorame-Castillo R","SCCS",0,100
"679",2011,"dos Santos AR","SCCS",0,100
"680",2011,"Drew L","SCCS",0,100
"683",2011,"Esparza-Aguilar M","SCCS",0,100
"685",2011,"Farrington CP","SCCS",0,100
"687",2011,"Flannery B","SCCS",0,100
"688",2011,"Fojaco-Gonzalez F","SCCS",0,100
"689",2011,"Frova L","SCCS",50,100
"690",2011,"Gargiullo PM","SCCS",0,100
"691",2011,"Gladman J","SCCS",50,50
"692",2011,"Gladman J","SCCS",50,50
"693",2011,"Glanz JM","SCCS",0,100
"694",2011,"Glanz JM","SCCS",0,100
"695",2011,"Gribbin J","SCCS",50,50
"696",2011,"Gribbin J","SCCS",50,50
"697",2011,"Gutierrez-Ramirez SF","SCCS",0,100
"700",2011,"Hambidge SJ","SCCS",0,100
"701",2011,"Hawken S","SCCS",0,100
"702",2011,"Hawken S","SCCS",50,100
"703",2011,"Hawken S","SCCS",0,100
"705",2011,"Hernandez-Hernandez LD","SCCS",0,100
"706",2011,"Hill C","SCCS",0,100
"708",2011,"Hubbard R","SCCS",50,50
"710",2011,"Keelan J","SCCS",0,100
"711",2011,"Klein NP","SCCS",0,100
"713",2011,"Kwong JC","SCCS",50,100
"714",2011,"Kwong JC","SCCS",0,100
"715",2011,"Lee Grace M","SCCS",0,100
"716",2011,"Lewis S","SCCS",50,50
"718",2011,"Lopez-Callada VR","SCCS",0,100
"719",2011,"Luna-Cruz ME","SCCS",0,100
"720",2011,"Maluf EMC","SCCS",0,100
"721",2011,"Manuel DG","SCCS",0,100
"722",2011,"Manuel DG","SCCS",50,100
"723",2011,"Manuel DG","SCCS",0,100
"724",2011,"Marquez AB","SCCS",0,100
"726",2011,"Massari M","SCCS",50,100
"728",2011,"McClure D","SCCS",0,100
"729",2011,"Mercado-Villegas B","SCCS",0,100
"731",2011,"Miller E","SCCS",100,100
"732",2011,"Miller E","SCCS",0,100
"734",2011,"Morriss R","SCCS",0,50
"735",2011,"Mullooly JP","SCCS",0,100
"737",2011,"Narwaney KJ","SCCS",0,100
"738",2011,"Newcomer SR","SCCS",0,100
"739",2011,"Nordin JD","SCCS",0,100
"740",2011,"Osnaya-Romero N","SCCS",0,100
"741",2011,"Patel MM","SCCS",0,100
"742",2011,"Plascencia-Hernandez A","SCCS",0,100
"744",2011,"Potter BK","SCCS",0,100
"745",2011,"Potter BK","SCCS",0,100
"746",2011,"Raschetti R","SCCS",50,100
"747",2011,"Renoiner EIM","SCCS",0,100
"748",2011,"Rezk GHP","SCCS",0,100
"749",2011,"Ross C","SCCS",0,100
"750",2011,"Rothwell D","SCCS",0,100
"751",2011,"Sach T","SCCS",0,50
"752",2011,"Salmaso S","SCCS",50,100
"753",2011,"Sato HK","SCCS",0,100
"754",2011,"Schlegel C","SCCS",0,100
"755",2011,"Schuler R","SCCS",0,100
"756",2011,"Seabroke S","SCCS",0,100
"757",2011,"Silva CLO","SCCS",0,100
"758",2011,"Siriwardena AN","SCCS",50,100
"759",2011,"Smith C","SCCS",50,50
"761",2011,"Sparks R","SCCS",0,100
"762",2011,"Spila-Alegiani S","SCCS",50,100
"763",2011,"Stowe J","SCCS",100,100
"764",2011,"Stowe J","SCCS",0,100
"765",2011,"Summar M","SCCS",0,100
"767",2011,"Tinajero-Pizano R","SCCS",0,100
"768",2011,"Toledo-Cortina G","SCCS",0,100
"771",2011,"Tubert-Bitter P","SCCS",0,100
"772",2011,"Van Walraven C","SCCS",0,100
"778",2011,"Xu Stan","SCCS",0,100
"780",2012,"Bos JH","CCO+CTC",100,100
"781",2012,"de Jong-van den Berg LTW","CCO+CTC",100,100
"783",2012,"Andersen PK","CTC",0,50
"784",2012,"Anderson G","CCO",0,50
"787",2012,"Baer MR","CCO",0,100
"788",2012,"Bazin F","CCO",50,50
"789",2012,"Bell CM","CCO",0,50
"790",2012,"Berry SD","CCO",100,50
"791",2012,"Blazejewski S","CCO",50,50
"792",2012,"Blumberg N","CCO",100,100
"793",2012,"Buka S","CCTC",100,100
"794",2012,"Campbell RJ","CCO",100,50
"795",2012,"Chang Chia-Hsuin","CCO",100,100
"798",2012,"Chen Hsi-Chieh","CCO",100,100
"799",2012,"Chen Shu-Ting","CCO",100,100
"800",2012,"Choi Nam-Kyong","CCO",100,100
"801",2012,"Chopra V","CCO",100,100
"802",2012,"Chou Hsu-Wen","CCO",100,100
"805",2012,"Delorme B","CCO",50,50
"807",2012,"Durrieu G","CCO",50,50
"808",2012,"Flanders SA","CCO",100,100
"811",2012,"Gadegbeku B","CCO",50,50
"812",2012,"Gerds T","CTC",100,50
"813",2012,"Gill SS","CCO",100,50
"815",2012,"Gislason GH","CTC",100,50
"817",2012,"Goldense D","CCO",100,50
"818",2012,"Gore SD","CCO",100,100
"819",2012,"Gruneir A","CCO",100,50
"820",2012,"Herrmann N","CCO",100,50
"821",2012,"Jensen A","CTC",100,50
"825",2012,"Kiel DP","CCO",100,50
"826",2012,"Kim Ye-Jee","CCO",100,100
"827",2012,"Kober L","CTC",100,50
"828",2012,"Kuo Chuei-Wen","CCO",100,100
"829",2012,"Lagarde E","CCO",50,50
"830",2012,"Lai Mei-Shu","CCO",100,100
"831",2012,"Lai Mei-Shu","CCO",100,100
"832",2012,"Lai Mei-Shu","CCO",100,50
"834",2012,"Larsen JK","CTC",100,50
"835",2012,"Laumon B","CCO",50,50
"837",2012,"Lecoules N","CCO",50,50
"838",2012,"Lee Joongyub","CCO",100,100
"843",2012,"Linkletter C","CCTC",100,100
"844",2012,"Lippert FK","CTC",100,50
"846",2012,"Liu Chia-Lin","CCO",100,50
"847",2012,"Maclure M","CCTC",100,100
"851",2012,"Mor V","CCTC",100,100
"853",2012,"Newman AM","CCO",100,50
"854",2012,"Nielsen SL","CTC",100,50
"855",2012,"Olesen JB","CTC",100,50
"856",2012,"Orriols L","CCO",50,50
"858",2012,"Park Soyoung","CCO",100,100
"859",2012,"Pehrson S","CTC",100,50
"860",2012,"Philip P","CCO",50,50
"861",2012,"Poulsen HE","CTC",100,50
"864",2012,"Rochon PA","CCO",100,50
"867",2012,"Seitz DP","CCO",100,50
"868",2012,"Shau Wen-Yi","CCO",100,100
"869",2012,"Shau Wen-Yi","CCO",100,50
"870",2012,"Smith SW","CCO",100,100
"871",2012,"Solomon DH","CCO",100,50
"872",2012,"Suissa S","CCO",50,50
"873",2012,"Torp-Pedersen C","CTC",100,50
"874",2012,"Wang Shirley","CCTC",100,100
"877",2012,"Zhang Yuqing","CCO",100,50
"884",2012,"Baxter R","SCCS",0,100
"886",2012,"Beland SG","SCCS",0,50
"887",2012,"Blum M","SCCS",50,100
"888",2012,"Bonhoeffer J","SCCS",100,100
"889",2012,"Boucher RM","SCCS",0,100
"890",2012,"Boulianne N","SCCS",0,100
"891",2012,"Breuer T","SCCS",50,100
"893",2012,"Butt DA","SCCS",100,50
"894",2012,"Carter GL","SCCS",100,0
"895",2012,"Cervantes-Apolinar M","SCCS",50,100
"897",2012,"Cheng A","SCCS",0,100
"898",2012,"Christensen J","SCCS",0,100
"899",2012,"Clothier HJ","SCCS",0,100
"901",2012,"Crawford NW","SCCS",0,100
"902",2012,"Crowcroft NS","SCCS",100,100
"903",2012,"Daley JM","SCCS",100,100
"905",2012,"Dartigues JF","SCCS",0,50
"911",2012,"DeAntonio-Suarez R","SCCS",50,100
"913",2012,"Deeks SL","SCCS",100,100
"914",2012,"DeStefano F","SCCS",0,100
"915",2012,"Douglas I","SCCS",50,50
"916",2012,"Ducruet T","SCCS",0,50
"917",2012,"Evans SJ","SCCS",50,50
"918",2012,"Farrington CP","SCCS",0,50
"919",2012,"Fireman BH","SCCS",100,100
"920",2012,"Fourrier-Reglat A","SCCS",0,50
"921",2012,"Gargiullo PM","SCCS",0,100
"924",2012,"Glanz JM","SCCS",0,100
"926",2012,"Gomes T","SCCS",100,50
"927",2012,"Grajales C","SCCS",50,100
"930",2012,"Hambidge SJ","SCCS",0,100
"931",2012,"Hawken S","SCCS",100,100
"933",2012,"Hemingway H","SCCS",50,50
"934",2012,"Hernandez MT","SCCS",50,100
"935",2012,"Hingorani A","SCCS",50,50
"936",2012,"Hviid A","SCCS",100,100
"937",2012,"Hviid A","SCCS",0,100
"938",2012,"Irving S","SCCS",0,100
"939",2012,"Jackson LA","SCCS",0,100
"940",2012,"Jackson LA","SCCS",100,100
"941",2012,"Jacobsen SJ","SCCS",0,100
"942",2012,"Jacobsen SJ","SCCS",100,100
"943",2012,"Johansen K","SCCS",100,100
"944",2012,"Jones AL","SCCS",100,0
"945",2012,"Kiers L","SCCS",0,100
"948",2012,"Lewis P","SCCS",0,100
