"","year","author","method","reportScore","methodsScore"
"1",1992,"Decker MD","CCO",100,100
"2",1992,"Fought RL","CCO",100,100
"3",1992,"Ray WA","CCO",100,100
"4",1995,"de Jong-van den Berg LTW","CCO",100,100
"5",1995,"Middelbeek A","CCO",100,100
"6",1995,"Stricker BH","CCO",100,100
"7",1995,"Sturkenboom MCM","CCO",100,100
"8",1995,"van den Berg PB","CCO",100,100
"9",1995,"Wesseling H","CCO",100,100
"10",1995,"Colville A","SCCS",0,100
"11",1995,"Farrington CP","SCCS",0,100
"12",1995,"Flower A","SCCS",0,100
"13",1995,"Miller E","SCCS",0,100
"14",1995,"Morgan-Capner P","SCCS",0,100
"16",1995,"Pugh S","SCCS",0,100
"17",1995,"Rush M","SCCS",0,100
"20",1998,"MacDonald TM","CCO",100,100
"21",1998,"McDevitt DG","CCO",100,100
"22",1998,"McMahon AD","CCO",100,100
"23",1998,"Morris AD","CCO",100,100
"24",1998,"Reid IC","CCO",100,100
"25",2000,"Barreto ML","SCCS",100,100
"26",2000,"Cunha S","SCCS",100,100
"27",2000,"Dourado I","SCCS",100,100
"28",2000,"Farrington CP","SCCS",100,100
"29",2000,"Lucena R","SCCS",100,100
"30",2000,"Melo A","SCCS",100,100
"31",2000,"Teixeira MG","SCCS",100,100
"32",2001,"Bourdés V","CCO",100,100
"37",2001,"Naldi L","CCO",100,50
"41",2001,"Viboud C","CCO",100,50
"43",2001,"Andrews N","SCCS",0,100
"44",2001,"Andrews N","SCCS",0,100
"45",2001,"Black SB","SCCS",0,100
"47",2001,"Cardenas AZ","SCCS",0,100
"48",2001,"Chen Robert T","SCCS",0,100
"51",2001,"DeStefano F","SCCS",0,100
"52",2001,"Fair E","SCCS",0,100
"53",2001,"Farrington CP","SCCS",0,100
"54",2001,"Farrington CP","SCCS",0,100
"55",2001,"Farrington CP","SCCS",0,100
"60",2001,"Kramarz P","SCCS",0,100
"65",2001,"Marie GC","SCCS",0,100
"66",2001,"Massoudi MS","SCCS",0,100
"67",2001,"Miller E","SCCS",0,100
"68",2001,"Miller E","SCCS",0,100
"71",2001,"Murphy TV","SCCS",0,100
"72",2001,"Nelson DB","SCCS",0,100
"73",2001,"Okoro CA","SCCS",0,100
"74",2001,"Pena MS","SCCS",0,100
"78",2001,"Setia S","SCCS",0,100
"79",2001,"Shinefield HR","SCCS",0,100
"80",2001,"Stowe J","SCCS",0,100
"81",2001,"Stowe J","SCCS",0,100
"85",2001,"Waight P","SCCS",0,100
"86",2001,"Waight P","SCCS",0,100
"88",2001,"Wharton M","SCCS",0,100
"89",2001,"Zanardi LR","SCCS",0,100
"90",2002,"Maxwell C","CCO",100,100
"92",2002,"Perry S","CCO",100,100
"93",2003,"Hernan MA","CCO+CTC",100,100
"97",2003,"Werler MM","CCO+CTC",100,100
"101",2003,"Flahault A","CCO",100,100
"102",2003,"Ki M","CCO",100,100
"106",2003,"Yi Sung Gon","CCO",100,100
"107",2003,"Andrews N","SCCS",0,100
"108",2003,"Farrington CP","SCCS",0,50
"109",2003,"Farrington CP","SCCS",0,100
"110",2003,"Harrison T","SCCS",0,100
"111",2003,"Hubbard R","SCCS",0,50
"112",2003,"Hubbard R","SCCS",0,100
"114",2003,"Smeeth L","SCCS",0,50
"115",2003,"Smith C","SCCS",0,50
"116",2003,"Smith C","SCCS",0,100
"117",2003,"Tata LJ","SCCS",0,100
"118",2003,"Tattersfield A","SCCS",0,50
"121",2003,"West J","SCCS",0,100
"123",2004,"Chen Robert T","CCO",100,100
"125",2004,"France EK","CCO",100,100
"126",2004,"Glanz JM","CCO",100,100
"127",2004,"Jackson LA","CCO",100,100
"129",2004,"Marcy SM","CCO",100,100
"134",2004,"Yi Sung Gon","CCO",100,100
"136",2004,"Bopp M","SCCS",0,100
"138",2004,"Farrington CP","SCCS",0,100
"139",2004,"Hall AJ","SCCS",0,100
"140",2004,"Hubbard R","SCCS",0,100
"141",2004,"Linder T","SCCS",0,100
"142",2004,"Mutsch M","SCCS",0,100
"145",2004,"Spyr C","SCCS",0,100
"146",2004,"Steffen R","SCCS",0,100
"148",2004,"Vallance P","SCCS",0,100
"149",2004,"Zhou W","SCCS",0,100
"150",2005,"Bagnardi V","CCO+CTC",0,100
"151",2005,"Corrao G","CCO+CTC",100,100
"152",2005,"Faini S","CCO+CTC",100,100
"153",2005,"Leoni O","CCO+CTC",100,100
"154",2005,"Suissa S","CCO+CTC",100,100
"158",2005,"Bonneh DY","CCO",100,100
