"","year","author","method","reportScore","methodsScore"
"1",1992,"Decker MD","CCO",100,100
"3",1992,"Ray WA","CCO",100,100
"4",1995,"de Jong-van den Berg LTW","CCO",100,100
"5",1995,"Middelbeek A","CCO",100,100
"6",1995,"Stricker BH","CCO",100,100
"9",1995,"Wesseling H","CCO",100,100
"10",1995,"Colville A","SCCS",0,100
"14",1995,"Morgan-Capner P","SCCS",0,100
"16",1995,"Pugh S","SCCS",0,100
"20",1998,"MacDonald TM","CCO",100,100
"21",1998,"McDevitt DG","CCO",100,100
"22",1998,"McMahon AD","CCO",100,100
"23",1998,"Morris AD","CCO",100,100
"24",1998,"Reid IC","CCO",100,100
"25",2000,"Barreto ML","SCCS",100,100
"26",2000,"Cunha S","SCCS",100,100
"27",2000,"Dourado I","SCCS",100,100
"28",2000,"Farrington CP","SCCS",100,100
"29",2000,"Lucena R","SCCS",100,100
"30",2000,"Melo A","SCCS",100,100
"44",2001,"Andrews N","SCCS",0,100
"51",2001,"DeStefano F","SCCS",0,100
"52",2001,"Fair E","SCCS",0,100
"54",2001,"Farrington CP","SCCS",0,100
"60",2001,"Kramarz P","SCCS",0,100
"65",2001,"Marie GC","SCCS",0,100
"66",2001,"Massoudi MS","SCCS",0,100
"71",2001,"Murphy TV","SCCS",0,100
"73",2001,"Okoro CA","SCCS",0,100
"79",2001,"Shinefield HR","SCCS",0,100
"80",2001,"Stowe J","SCCS",0,100
"85",2001,"Waight P","SCCS",0,100
"86",2001,"Waight P","SCCS",0,100
"88",2001,"Wharton M","SCCS",0,100
"89",2001,"Zanardi LR","SCCS",0,100
"90",2002,"Maxwell C","CCO",100,100
"92",2002,"Perry S","CCO",100,100
"93",2003,"Hernan MA","CCO+CTC",100,100
"97",2003,"Werler MM","CCO+CTC",100,100
"101",2003,"Flahault A","CCO",100,100
"102",2003,"Ki M","CCO",100,100
"106",2003,"Yi Sung Gon","CCO",100,100
"107",2003,"Andrews N","SCCS",0,100
"108",2003,"Farrington CP","SCCS",0,50
"109",2003,"Farrington CP","SCCS",0,100
"110",2003,"Harrison T","SCCS",0,100
"111",2003,"Hubbard R","SCCS",0,50
"114",2003,"Smeeth L","SCCS",0,50
"115",2003,"Smith C","SCCS",0,50
"116",2003,"Smith C","SCCS",0,100
"117",2003,"Tata LJ","SCCS",0,100
"121",2003,"West J","SCCS",0,100
"125",2004,"France EK","CCO",100,100
"126",2004,"Glanz JM","CCO",100,100
"127",2004,"Jackson LA","CCO",100,100
"134",2004,"Yi Sung Gon","CCO",100,100
"136",2004,"Bopp M","SCCS",0,100
"138",2004,"Farrington CP","SCCS",0,100
"139",2004,"Hall AJ","SCCS",0,100
"140",2004,"Hubbard R","SCCS",0,100
"141",2004,"Linder T","SCCS",0,100
"149",2004,"Zhou W","SCCS",0,100
"162",2005,"Halevy S","CCO",100,100
"167",2005,"Naggan L","CCO",100,100
"171",2005,"Britton J","SCCS",0,100
"172",2005,"Britton J","SCCS",0,100
"173",2005,"Canh Gia D","SCCS",50,100
"174",2005,"Card T","SCCS",0,0
"182",2005,"Godfrey C","SCCS",0,100
"193",2005,"Smeeth L","SCCS",0,100
"198",2005,"Smith C","SCCS",0,100
"200",2005,"Smith C","SCCS",0,50
"202",2005,"Tata LJ","SCCS",0,50
"203",2005,"Thiem DV","SCCS",50,100
"204",2005,"Tho HL","SCCS",50,100
"208",2005,"West J","SCCS",0,0
"209",2005,"West J","SCCS",0,50
"212",2006,"Belongia EA","CCO",100,100
"217",2006,"Chaisson CE","CCO",100,50
"222",2006,"Gislason GH","CCO",100,100
"223",2006,"Glanz JM","CCO",100,100
"224",2006,"Hambidge SJ","CCO",100,100
"229",2006,"Kober L","CCO",100,100
"233",2006,"McClure D","CCO",100,100
"236",2006,"Nordin JD","CCO",100,100
"237",2006,"Oderda GM","CCO",100,100
"238",2006,"Rasmussen JN","CCO",100,100
"242",2006,"Shinefield HR","CCO",100,100
"254",2006,"Finlayson AR","SCCS",0,100
"265",2006,"Stowe J","SCCS",0,100
"271",2007,"Blanchette V","CCO",100,100
"278",2007,"Handoko KB","CCO",100,100
"279",2007,"Hermens WAJJ","CCO",100,100
"280",2007,"Horvath-Puho E","CTC",100,100
"281",2007,"Juurlink DN","CCO",100,100
"282",2007,"Kirby M","CCO",100,100
"284",2007,"Koren G","CCO",100,100
"290",2007,"Sode J","CCO",100,100
"294",2007,"Zwart-van Rijkom JEF","CCO",100,100
"296",2007,"Andrews N","SCCS",0,100
"300",2007,"Bryant NJ","SCCS",0,100
"303",2007,"Miller E","SCCS",0,100
"307",2007,"Ohrling A","SCCS",0,100
"308",2007,"Ross EM","SCCS",0,100
"309",2007,"Stowe J","SCCS",0,100
"312",2007,"Taylor B","SCCS",0,100
"313",2007,"Taylor B","SCCS",0,100
"314",2007,"Taylor B","SCCS",0,100
"315",2007,"Verity CM","SCCS",0,100
"316",2007,"Waight P","SCCS",0,100
"317",2007,"Ward KN","SCCS",0,100
"318",2008,"Agard C","CCO",0,100
"319",2008,"Alarcón GS","CCO",0,50
"320",2008,"Andersen M","CCO",0,100
"321",2008,"Azoulay L","CCO",100,100
"322",2008,"Berard A","CCO",100,100
