Method,Year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24,Author25,Author26,Author27,Author28,Author29,Author30,Author31,Author32,Author33,Author34,Author35
SCCS,2012,Hambidge SJ,Ross C,Glanz JM,McClure D,Daley MF,Xu Stan,Shoup JA,Narwaney KJ,Baggs JM,Weintraub ES,Gay C,Nordin JD,Baxter R,Jacobsen SJ,Irving S,Naleway AL,Jackson LA,,,,,,,,,,,,,,,,,,
SCCS,2012,Hawken S,Manuel DG,Deeks SL,Kwong JC,Crowcroft NS,Wilson K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Pariente A,Fourrier-Reglat A,Ducruet T,Farrington CP,Beland SG,Dartigues JF,Moore N,Moride Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Sun Y,Christensen J,Hviid A,Li J,Vedsted P,Olsen J,Vestergaard M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Tokars JI,Lewis P,DeStefano F,Wise M,Viray M,Morgan O,Gargiullo PM,Vellozzi C,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Tseng HF,Liu A,Sy Lina S,Marcy SM,Fireman BH,Weintraub ES,Baggs JM,Weinmann S,Baxter R,Nordin JD,Daley JM,Jackson LA,Jacobsen SJ,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Velazquez FR,Colindres RE,Grajales C,Hernandez MT,Mercadillo MG,Torres FJ,Cervantes-Apolinar M,DeAntonio-Suarez R,Ortega-Barria E,Blum M,Breuer T,Verstraeten T,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Wilson K,Hawken S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Asturias EJ,Contreras-Roldan IL,Ram M,Garcia-Melgar AJ,Morales-Oquendo V,Hartman K,Rauscher M,Moulton LH,Halsey NA,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Benchimol EI,Hawken S,Kwong JC,Wilson K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Bird ST,Delaney JAC,Brophy JM,Etminan M,Skeldon SC,Hartzema AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Butt DA,Mamdani M,Austin PC,Tu Karen,Gomes T,Glazier RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Carlin JB,Macartney KK,Lee KJ,Quinn HE,Buttery J,Lopert R,Bines J,McIntyre PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Dodd CN,Romio SA,Black SB,Vellozzi C,Andrews N,Sturkenboom MCM,Zuber P,Hua W,Bonhoeffer J,Buttery J,Crawford NW,Deceuninck G,de Vries CS,De Wals P,Gutierrez-Gimeno MV,Heijbel H,Hughes H,Hur K,Hviid A,Kelman J,Kilpi T,Chuang SK,Macartney KK,Rett M,Lopez-Callada VR,Salmon D,Gimenez-Sanchez F,Sanz N,Silverman B,Storsaeter J,Thirugnanam U,van der Maas N,Yih K,Zhang T,Izurieta H
SCCS,2013,Donegan K,Beau-Lejdstrom R,King B,Seabroke S,Thomson A,Bryan P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Fardet L,Nazareth I,Whitaker HJ,Petersen I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Galeotti F,Massari M,D'Alessandro R,Beghi E,Chio A,Logroscino G,Filippini G,Benedetti MD,Pugliatti M,Santuccio C,Raschetti R,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Huang Wan-Ting,Yang Hsu-Wen,Liao Tzu-Lin,Wu Wan-Jen,Yang Shu-Er,Chih Yi-Chlen,Chuang Jen-Hsiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Raman SR,Marshall SW,Haynes K,Gaynes BN,Naftel AJ,Sturmer T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Tseng HF,Sy Lina S,Qian L, Marcy SM,Jackson LA,Glanz JM,Nordin JD,Baxter R,Naleway AL,Donahue JG,Weintraub ES,Jacobsen SJ,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Wijlaars LPMM,Nazareth I,Whitaker HJ,Evans SJ,Petersen I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2013,Wilson K,Ducharme R,Hawken S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
