Method,Year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24,Author25,Author26,Author27,Author28,Author29,Author30,Author31,Author32,Author33,Author34,Author35
CCO,2009,Zambon A,Friz HP,Contiero P,Corrao G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Chang Chia-Hsuin,Shau Wen-Yi,Kuo Chuei-Wen,Chen Shu-Ting,Lai Mei-Shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Fosbol EL,Folke F,Jacobsen SJ,Rasmussen JN,Sorensen R,Schramm TK,Andersen SS,Rasmussen S,Poulsen HE,Kober L,Torp-Pedersen C,Gislason GH,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Gagne JJ,Avorn J,Shrank WH,Schneeweiss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Grimaldi-Bensouda L,Abenhaim L,Michaud L,Mouterde O,Jonville-Bera AP,Giraudeau B,David B,Autret-Leca E,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Lee Chang-Hsing,Wang Jung-Der,Chen Pau-Chung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Martins IS,Pellegrino FL,Freitas A,Santos Mda,Ferraiuoli GI,Vasques MR,Amorim EL,Oliveira S,Nouer SA,Cardoso FL,Mascarenhas LA,Magalhaes AC,Cleinman IB,Figueiredo AM,Moreira BM,,,,,,,,,,,,,,,,,,,,
CCO,2010,Olesen JB,Hansen PR,Erdal J,Abildstrom SZ,Weeke P,Fosbol EL,Poulsen HE,Gislason GH,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Orriols L,Delorme B,Gadegbeku B,Tricotel A,Contrand B,Laumon B,Salmi LR,Lagarde E,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Schelleman H,Bilker WB,Brensinger CM,Wan F,Hennessy S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Shuto H,Imakyure O,Matsumoto J,Egawa T,Jiang Y,Hirakawa M,Kataoka Y,Yanagawa T,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2010,Velthove KJ,Leufkens HG,Schweizer RC,van Solinge WW,Souverein PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
